4049 INFO  frequency  rate chain power     Fail(%) Mask_Limit(%)    mask_P/F
4003 INFO       2412    1L     1  20.1        25.0           8.0         769
4003 INFO       2412   11S     1  20.2        27.7           8.0         850
4003 INFO       2412     6     1  20.1         2.4           8.0           .
4003 INFO       2412    54     1  20.0         5.7           8.0           .
4003 INFO       2412    t0     1  20.1         1.9           8.0           .
4003 INFO       2412    t5     1  19.5         6.6           8.0           .
4003 INFO       2412    t6     1  18.6         4.9           8.0           .
4003 INFO       2412    t7     1  18.6        13.8           8.0         424
4003 INFO       2412    f0     1  19.3         0.0           8.0           .
4003 INFO       2412    f7     1  18.0         0.0           8.0           .
4003 INFO       2412    1L     2  19.3        15.2           8.0         466
4003 INFO       2412   11S     2  19.9        16.9           8.0         520
4003 INFO       2412     6     2  19.8         1.8           8.0           .
4003 INFO       2412    54     2  19.4         2.7           8.0           .
4003 INFO       2412    t0     2  19.4         0.8           8.0           .
4003 INFO       2412    t5     2  18.9         4.9           8.0           .
4003 INFO       2412    t6     2  17.9         5.9           8.0           .
4003 INFO       2412    t7     2  17.9         4.6           8.0           .
4003 INFO       2412    f0     2  19.1         0.0           8.0           .
4003 INFO       2412    f7     2  18.3         0.0           8.0           .
4003 INFO       2437    1L     1  20.1        30.3           8.0         932
4003 INFO       2437   11S     1  20.3        30.9           8.0         951
4003 INFO       2437     6     1  20.1         8.3           8.0         256
4003 INFO       2437    54     1  19.9        11.9           8.0         365
4003 INFO       2437    t0     1  19.6         6.5           8.0           .
4003 INFO       2437    t5     1  19.0        10.6           8.0         327
4003 INFO       2437    t6     1  18.6        11.3           8.0         348
4003 INFO       2437    t7     1  18.1        18.7           8.0         574
4003 INFO       2437    f0     1  18.9         0.0           8.0           .
4003 INFO       2437    f7     1  18.1         0.0           8.0           .
4003 INFO       2437    1L     2  20.4         5.0           8.0           .
4003 INFO       2437   11S     2  20.6         7.5           8.0           .
4003 INFO       2437     6     2  20.1         0.0           8.0           .
4003 INFO       2437    54     2  20.1         0.0           8.0           .
4003 INFO       2437    t0     2  19.9         0.0           8.0           .
4003 INFO       2437    t5     2  19.5         0.0           8.0           .
4003 INFO       2437    t6     2  18.6         0.3           8.0           .
4003 INFO       2437    t7     2  18.7         1.1           8.0           .
4003 INFO       2437    f0     2  19.3         0.0           8.0           .
4003 INFO       2437    f7     2  18.2         0.0           8.0           .
4003 INFO       2462    1L     1  20.2        26.5           8.0         815
4003 INFO       2462   11S     1  20.3        26.9           8.0         828
4003 INFO       2462     6     1  20.2         5.0           8.0           .
4003 INFO       2462    54     1  20.0        10.4           8.0         320
4003 INFO       2462    t0     1  20.2         4.3           8.0           .
